Timestamp;Market Long proba (%);Market Short proba (%);Order Type;Market Mid;Holding;Holding Value;Index BTC;Index Port
21:58.9;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
22:02.9;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
22:06.7;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
22:10.7;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
22:15.1;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
22:19.0;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
22:22.9;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
22:26.8;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
22:30.9;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
22:34.9;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
22:38.6;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
22:43.4;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
22:47.8;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
22:51.9;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
22:56.0;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
22:59.9;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
23:04.2;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
23:08.1;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
23:13.4;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
23:17.7;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
23:21.8;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
23:26.0;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
23:29.9;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
23:34.1;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
23:38.3;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
23:42.7;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
23:46.9;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
23:51.3;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
23:55.6;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
24:00.6;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
24:04.6;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
24:09.1;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
24:13.0;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
24:17.4;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
24:22.0;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
24:26.8;2.56E-06;2.41E-06;-1;3424.075;0;10000;1.000002921;1
24:31.3;0.506638;3.57E-06;0;3424.075;0.1;10000;1.000002921;1
24:35.6;0.50663;3.57E-06;0;3424.075;0.2;10000;1.000002921;1
24:40.2;0.00229637;6.59E-06;-1;3424.075;0.2;10000;1.000002921;1
24:44.9;2.93E-06;3.52E-06;-1;3424.075;0.2;10000;1.000002921;1
24:49.5;2.93E-06;3.52E-06;-1;3424.075;0.2;10000;1.000002921;1
24:54.7;2.93E-06;3.52E-06;-1;3424.075;0.2;10000;1.000002921;1
24:59.7;2.93E-06;3.52E-06;-1;3423.62;0.2;9999.909;0.999870038;0.9999909
25:04.4;3.05E-06;0.493389;-1;3423.58;0.2;9999.901;0.999858355;0.9999901
25:09.2;0.000309847;0.999652;1;3423.61;0.1;9999.907;0.999867117;0.9999907
25:14.1;0.480978;0.517615;1;3423.175;0;9999.8635;0.999740075;0.99998635
25:18.9;0.480535;0.51805;1;3423.175;0;9999.8635;0.999740075;0.99998635
25:24.2;0.0159789;0.0189117;-1;3423.175;0;9999.8635;0.999740075;0.99998635
25:29.6;0.000241124;0.000286744;-1;3424.065;0;9999.8635;1;0.99998635
25:34.5;0.401037;3.34E-05;-1;3424.065;0;9999.8635;1;0.99998635
25:40.4;0.400594;3.32E-05;-1;3424.065;0;9999.8635;1;0.99998635
25:45.4;0.0250404;1.20E-06;-1;3424.065;0;9999.8635;1;0.99998635
25:51.2;0.00101862;9.63E-07;-1;3424.065;0;9999.8635;1;0.99998635
25:57.9;0.000840776;9.63E-07;-1;3424.065;0;9999.8635;1;0.99998635
26:04.0;0.000834328;9.63E-07;-1;3424.075;0;9999.8635;1.000002921;0.99998635
26:09.7;0.632161;0.000124975;0;3424.075;0.1;9999.8635;1.000002921;0.99998635
26:14.9;0.631099;0.000125399;0;3424.075;0.2;9999.8635;1.000002921;0.99998635
26:20.0;0.0755749;9.41E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
26:25.1;0.00160191;2.28E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
26:30.2;0.000508696;1.31E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
26:35.4;0.000496904;1.29E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
26:40.3;0.000493236;1.29E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
26:45.2;0.000489684;1.28E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
26:50.5;0.000486188;1.28E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
26:55.7;0.000482746;1.28E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
27:00.9;0.000479357;1.27E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
27:06.0;0.000476019;1.27E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
27:11.7;0.000472733;1.26E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
27:17.1;0.000469496;1.26E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
27:22.6;0.000466307;1.26E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
27:28.2;0.000463167;1.25E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
27:33.6;0.000460073;1.25E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
27:39.3;0.000457024;1.24E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
27:45.0;0.00045402;1.24E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
27:50.6;0.00045106;1.24E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
27:55.8;0.000448142;1.23E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
28:02.2;0.000445267;1.23E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
28:08.3;0.000442433;1.22E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
28:13.8;0.000439639;1.22E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
28:19.3;0.000436884;1.22E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
28:24.9;0.000434168;1.21E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
28:30.6;0.00043149;1.21E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
28:36.3;0.000428849;1.21E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
28:41.7;0.000426245;1.20E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
28:47.3;0.000423676;1.20E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
28:53.5;0.000421143;1.20E-05;-1;3424.075;0.2;9999.8635;1.000002921;0.99998635
28:59.6;0.000418643;1.19E-05;-1;3424.025;0.2;9999.8535;0.999988318;0.99998535
29:05.3;4.90E-05;0.00549395;-1;3424.045;0.2;9999.8575;0.999994159;0.99998575
29:11.4;0.00556348;4.84E-05;-1;3424.065;0.2;9999.8615;1;0.99998615
29:17.3;0.391106;3.49E-05;-1;3424.065;0.2;9999.8615;1;0.99998615
29:24.9;0.38484;3.49E-05;-1;3424.065;0.2;9999.8615;1;0.99998615
29:31.3;0.0891357;3.26E-05;-1;3424.065;0.2;9999.8615;1;0.99998615
29:37.0;0.0155246;3.07E-05;-1;3424.085;0.2;9999.8655;1.000005841;0.99998655
29:43.1;0.542632;2.71E-05;0;3424.135;0.3;9999.8755;1.000020444;0.99998755
29:49.3;0.992161;2.44E-05;0;3424.185;0.4;9999.8905;1.000035046;0.99998905
29:55.3;0.999097;2.34E-05;0;3424.185;0.5;9999.8905;1.000035046;0.99998905
30:01.3;0.909134;2.16E-05;0;3424.185;0.6;9999.8905;1.000035046;0.99998905
30:07.4;0.0804671;2.02E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
30:13.8;0.00117138;1.91E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
30:19.9;0.000806919;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
30:26.4;0.000802658;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
30:32.4;0.000799737;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
30:38.6;0.000796843;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
30:44.9;0.000793972;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
30:51.0;0.000791121;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
30:57.0;0.000788293;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
31:04.4;0.000785485;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
31:10.8;0.000782699;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
31:17.2;0.000779933;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
31:23.7;0.000777187;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
31:29.8;0.000774462;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
31:36.5;0.000771757;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
31:42.7;0.000769071;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
31:49.5;0.000766406;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
31:56.0;0.000763759;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
32:02.5;0.000761132;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
32:09.0;0.000758524;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
32:15.5;0.000755935;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
32:22.2;0.000753364;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
32:28.5;0.000750812;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
32:35.2;0.000748278;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
32:41.7;0.000745761;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
32:47.8;0.000743263;1.90E-05;-1;3424.185;0.6;9999.8905;1.000035046;0.99998905
